2025-06-20T11:20:44.044659Z  INFO Logging to file: "orig_adc_50hz.6.txt"
2025-06-20T11:20:44.048486Z  INFO Inferred device address from filename: 6
2025-06-20T11:20:44.048539Z  INFO Running in Grouped Chronological Mode.
2025-06-20T11:20:44.523833Z  INFO Ingested 270 packets. Grouping transactions...
2025-06-20T11:20:44.524156Z  INFO [TXN-REQ] H->D F:236  @ 2.743632s | Command(CommandHeader { command_type: Connect, transaction_id: 1, attribute: None }, None)
2025-06-20T11:20:44.524363Z  INFO [TXN-REQ] H->D F:326  @ 3.195834s | Command(CommandHeader { command_type: Authenticate, transaction_id: 5, attribute: AuthStep }, Some(b"\x9c@\x9d\xeb\xc8\xdfS\xb8;\x06l1RP\xd0\\\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"))
2025-06-20T11:20:44.524380Z  INFO [TXN-RSP] D->H F:328  @ 3.196019s | GenericResponse { header: CommandHeader { command_type: ResponseC4, transaction_id: 5, attribute: AuthStep }, payload: b"P\x04\x01@\x0c\0\0\0\xff\xff\xff\xfft\xb23O" }
2025-06-20T11:20:44.524395Z  INFO [PKT] D->H F:332  @ 3.209138s | GenericResponse { header: CommandHeader { command_type: Response75, transaction_id: 235, attribute: Unknown(12268) }, payload: b"\xaf\x04i\xd7\x1a\x17\x91I\x10\xf8\xc6\x07" }
2025-06-20T11:20:44.524414Z  INFO [PKT] H->D F:334  @ 3.209919s | Command(CommandHeader { command_type: CommandWithPayload, transaction_id: 6, attribute: SetDataRecorderMode }, Some(b"\xb1s\xbb\xbe-}\xderF\x87@\xc0+\xe4\x01\xea}VG\xfb\x80\x9d\xee\x9e\xf8{Lw\xa2\xe2\xc5\xd0"))
2025-06-20T11:20:44.524435Z  INFO [PKT] D->H F:336  @ 3.210103s | GenericResponse { header: CommandHeader { command_type: CommandWithPayload, transaction_id: 0, attribute: Unknown(515) }, payload: b"5\x02\xfd\xa2\xa3\xa7\x02T\xeaF\xe7j\x08E\x06\x19\x9d\xb9\x90\xde\x1a\xf1\x19\xfb4\xc7+\xd9(\xce\x15Z" }
2025-06-20T11:20:44.524451Z  INFO [TXN-REQ] H->D F:340  @ 3.210983s | Command(CommandHeader { command_type: GetData, transaction_id: 7, attribute: GetDeviceInfo }, None)
2025-06-20T11:20:44.524475Z  INFO [TXN-RSP] D->H F:342  @ 3.211302s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 7, attribute: Unknown(2818) }, payload: b"\x08\0\0-a\x01P\xf8\0\0\0\0\x10'A\xff\0\0\0\0\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0^\0\0\0&\x8b\xb8:C\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0POWER-Z\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0 }\x05\xd2" }
2025-06-20T11:20:44.524501Z  INFO [TXN-REQ] H->D F:344  @ 3.213000s | Command(CommandHeader { command_type: GetData, transaction_id: 8, attribute: GetStartupInfo }, None)
2025-06-20T11:20:44.524511Z  INFO [TXN-RSP] D->H F:346  @ 3.213593s | GenericResponse { header: CommandHeader { command_type: DataResponse, transaction_id: 8, attribute: Unknown(65474) }, payload: b"\0\x02\0\0" }
2025-06-20T11:20:44.524522Z  INFO [TXN-REQ] H->D F:347  @ 3.215128s | Command(CommandHeader { command_type: StopStream, transaction_id: 9, attribute: None }, None)
2025-06-20T11:20:44.524531Z  INFO [TXN-RSP] D->H F:350  @ 3.215236s | Acknowledge { header: CommandHeader { command_type: Accept, transaction_id: 9, attribute: None }, kind: Accept }
2025-06-20T11:20:44.524542Z  INFO [TXN-REQ] H->D F:366  @ 3.275958s | Command(CommandHeader { command_type: GetData, transaction_id: 10, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524555Z  INFO [TXN-RSP] D->H F:368  @ 3.276201s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 10, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082227, ibus_ua: 26, vbus_avg_uv: 5082399, ibus_avg_ua: -6, vbus_ori_avg_uv: 5082405, ibus_ori_avg_ua: 88, temp_raw: 3162, vcc1_tenth_mv: 667, vcc2_raw: 32374, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32382, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524571Z  INFO [TXN-REQ] H->D F:394  @ 3.485393s | Command(CommandHeader { command_type: GetData, transaction_id: 11, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524583Z  INFO [TXN-RSP] D->H F:396  @ 3.485583s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 11, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082227, ibus_ua: 26, vbus_avg_uv: 5082399, ibus_avg_ua: -6, vbus_ori_avg_uv: 5082405, ibus_ori_avg_ua: 88, temp_raw: 3162, vcc1_tenth_mv: 666, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524595Z  INFO [TXN-REQ] H->D F:410  @ 3.695358s | Command(CommandHeader { command_type: GetData, transaction_id: 12, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524606Z  INFO [TXN-RSP] D->H F:412  @ 3.695540s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 12, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082227, ibus_ua: 26, vbus_avg_uv: 5082399, ibus_avg_ua: -6, vbus_ori_avg_uv: 5082405, ibus_ori_avg_ua: 88, temp_raw: 3162, vcc1_tenth_mv: 666, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524621Z  INFO [TXN-REQ] H->D F:450  @ 3.905047s | Command(CommandHeader { command_type: GetData, transaction_id: 13, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524632Z  INFO [TXN-RSP] D->H F:452  @ 3.905208s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 13, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082211, ibus_ua: -2, vbus_avg_uv: 5082219, ibus_avg_ua: 12, vbus_ori_avg_uv: 5082225, ibus_ori_avg_ua: 106, temp_raw: 3162, vcc1_tenth_mv: 666, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524645Z  INFO [TXN-REQ] H->D F:488  @ 4.105450s | Command(CommandHeader { command_type: GetData, transaction_id: 14, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524656Z  INFO [TXN-RSP] D->H F:490  @ 4.105688s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 14, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082211, ibus_ua: -2, vbus_avg_uv: 5082219, ibus_avg_ua: 12, vbus_ori_avg_uv: 5082225, ibus_ori_avg_ua: 106, temp_raw: 3162, vcc1_tenth_mv: 665, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524668Z  INFO [TXN-REQ] H->D F:538  @ 4.315435s | Command(CommandHeader { command_type: GetData, transaction_id: 15, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524680Z  INFO [TXN-RSP] D->H F:540  @ 4.315600s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 15, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082340, ibus_ua: 6, vbus_avg_uv: 5082219, ibus_avg_ua: 12, vbus_ori_avg_uv: 5082225, ibus_ori_avg_ua: 106, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524694Z  INFO [TXN-REQ] H->D F:554  @ 4.525099s | Command(CommandHeader { command_type: GetData, transaction_id: 16, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524706Z  INFO [TXN-RSP] D->H F:556  @ 4.525232s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 16, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082340, ibus_ua: 6, vbus_avg_uv: 5082219, ibus_avg_ua: 12, vbus_ori_avg_uv: 5082225, ibus_ori_avg_ua: 106, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524720Z  INFO [TXN-REQ] H->D F:568  @ 4.734981s | Command(CommandHeader { command_type: GetData, transaction_id: 17, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524732Z  INFO [TXN-RSP] D->H F:570  @ 4.735139s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 17, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082340, ibus_ua: 6, vbus_avg_uv: 5082219, ibus_avg_ua: 12, vbus_ori_avg_uv: 5082225, ibus_ori_avg_ua: 106, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524744Z  INFO [TXN-REQ] H->D F:624  @ 4.946895s | Command(CommandHeader { command_type: GetData, transaction_id: 18, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524756Z  INFO [TXN-RSP] D->H F:626  @ 4.947082s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 18, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082318, ibus_ua: 30, vbus_avg_uv: 5082329, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082335, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524771Z  INFO [TXN-REQ] H->D F:664  @ 5.155119s | Command(CommandHeader { command_type: GetData, transaction_id: 19, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524782Z  INFO [TXN-RSP] D->H F:666  @ 5.155331s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 19, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082318, ibus_ua: 30, vbus_avg_uv: 5082329, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082335, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524797Z  INFO [TXN-REQ] H->D F:714  @ 5.360972s | Command(CommandHeader { command_type: GetData, transaction_id: 20, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524809Z  INFO [TXN-RSP] D->H F:716  @ 5.361159s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 20, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082423, ibus_ua: 26, vbus_avg_uv: 5082329, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082335, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524821Z  INFO [TXN-REQ] H->D F:730  @ 5.566093s | Command(CommandHeader { command_type: GetData, transaction_id: 21, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524832Z  INFO [TXN-RSP] D->H F:732  @ 5.566251s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 21, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082423, ibus_ua: 26, vbus_avg_uv: 5082329, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082335, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524844Z  INFO [TXN-REQ] H->D F:742  @ 5.775358s | Command(CommandHeader { command_type: GetData, transaction_id: 22, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524856Z  INFO [TXN-RSP] D->H F:744  @ 5.775628s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 22, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082415, ibus_ua: 10, vbus_avg_uv: 5082419, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082425, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524868Z  INFO [TXN-REQ] H->D F:746  @ 5.985605s | Command(CommandHeader { command_type: GetData, transaction_id: 23, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524880Z  INFO [TXN-RSP] D->H F:748  @ 5.985766s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 23, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082415, ibus_ua: 10, vbus_avg_uv: 5082419, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082425, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524892Z  INFO [TXN-REQ] H->D F:750  @ 6.195069s | Command(CommandHeader { command_type: GetData, transaction_id: 24, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524903Z  INFO [TXN-RSP] D->H F:752  @ 6.195237s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 24, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082415, ibus_ua: 10, vbus_avg_uv: 5082419, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082425, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524915Z  INFO [TXN-REQ] H->D F:758  @ 6.395304s | Command(CommandHeader { command_type: GetData, transaction_id: 25, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524925Z  INFO [TXN-RSP] D->H F:760  @ 6.395501s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 25, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082415, ibus_ua: -6, vbus_avg_uv: 5082419, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082425, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32378, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32386, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524941Z  INFO [TXN-REQ] H->D F:766  @ 6.605988s | Command(CommandHeader { command_type: GetData, transaction_id: 26, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524952Z  INFO [TXN-RSP] D->H F:768  @ 6.606173s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 26, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082415, ibus_ua: -6, vbus_avg_uv: 5082419, ibus_avg_ua: 18, vbus_ori_avg_uv: 5082425, ibus_ori_avg_ua: 112, temp_raw: 3161, vcc1_tenth_mv: 664, vcc2_raw: 32376, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32384, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524965Z  INFO [TXN-REQ] H->D F:820  @ 6.815101s | Command(CommandHeader { command_type: GetData, transaction_id: 27, attribute: AdcQueue }, None)
2025-06-20T11:20:44.524976Z  INFO [TXN-RSP] D->H F:822  @ 6.815287s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 27, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082436, ibus_ua: -18, vbus_avg_uv: 5082425, ibus_avg_ua: -12, vbus_ori_avg_uv: 5082431, ibus_ori_avg_ua: 82, temp_raw: 3161, vcc1_tenth_mv: 664, vcc2_raw: 32376, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32384, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.524989Z  INFO [TXN-REQ] H->D F:848  @ 7.016065s | Command(CommandHeader { command_type: GetData, transaction_id: 28, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525000Z  INFO [TXN-RSP] D->H F:850  @ 7.016225s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 28, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082436, ibus_ua: -18, vbus_avg_uv: 5082425, ibus_avg_ua: -12, vbus_ori_avg_uv: 5082431, ibus_ori_avg_ua: 82, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525012Z  INFO [TXN-REQ] H->D F:880  @ 7.225000s | Command(CommandHeader { command_type: GetData, transaction_id: 29, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525024Z  INFO [TXN-RSP] D->H F:882  @ 7.225184s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 29, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082436, ibus_ua: -18, vbus_avg_uv: 5082425, ibus_avg_ua: -12, vbus_ori_avg_uv: 5082431, ibus_ori_avg_ua: 82, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525036Z  INFO [TXN-REQ] H->D F:908  @ 7.435493s | Command(CommandHeader { command_type: GetData, transaction_id: 30, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525048Z  INFO [TXN-RSP] D->H F:910  @ 7.435682s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 30, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082322, ibus_ua: -2, vbus_avg_uv: 5082425, ibus_avg_ua: -12, vbus_ori_avg_uv: 5082431, ibus_ori_avg_ua: 82, temp_raw: 3161, vcc1_tenth_mv: 665, vcc2_raw: 32377, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32385, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525060Z  INFO [TXN-REQ] H->D F:914  @ 7.645056s | Command(CommandHeader { command_type: GetData, transaction_id: 31, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525072Z  INFO [TXN-RSP] D->H F:916  @ 7.645242s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 31, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082322, ibus_ua: -2, vbus_avg_uv: 5082425, ibus_avg_ua: -12, vbus_ori_avg_uv: 5082431, ibus_ori_avg_ua: 82, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32376, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32384, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525084Z  INFO [TXN-REQ] H->D F:928  @ 7.845553s | Command(CommandHeader { command_type: GetData, transaction_id: 32, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525095Z  INFO [TXN-RSP] D->H F:930  @ 7.845732s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 32, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082295, ibus_ua: 22, vbus_avg_uv: 5082308, ibus_avg_ua: 10, vbus_ori_avg_uv: 5082314, ibus_ori_avg_ua: 104, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32376, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32384, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
2025-06-20T11:20:44.525107Z  INFO [TXN-REQ] H->D F:934  @ 8.056155s | Command(CommandHeader { command_type: GetData, transaction_id: 33, attribute: AdcQueue }, None)
2025-06-20T11:20:44.525118Z  INFO [TXN-RSP] D->H F:936  @ 8.056330s | SensorData(SensorDataPacket { header: SensorDataHeader { response_type: 65, transaction_id: 33, flags: 130, attribute_echo: 2 }, extended_header: 184549377, vbus_uv: 5082295, ibus_ua: 22, vbus_avg_uv: 5082308, ibus_avg_ua: 10, vbus_ori_avg_uv: 5082314, ibus_ori_avg_ua: 104, temp_raw: 3161, vcc1_tenth_mv: 666, vcc2_raw: 32376, vdp_mv: 0, vdm_mv: 0, vdd_raw: 32384, rate: Sps1, unknown1: 128, vcc2_avg_raw: 3236, vdp_avg_mv: 0, vdm_avg_mv: 0 })
