frame,time,direction,hex,raw_packet,packet,event_detail
50,3.421707,D->H,c4040101000c000340000000ffffffff638a64bf,"Data { header: DataHeader { packet_type: 68, flag: true, id: 4, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 3072, next: false, chunk: 0, size: 12 }, payload: b""@\0\0\0\xff\xff\xff\xffc\x8ad\xbf"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: true, id: 4, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 3072, next: false, chunk: 0, size: 12 }, payload: b""@\0\0\0\xff\xff\xff\xffc\x8ad\xbf"" })","Status(
    StatusPacket {
        type_id: 64,
        timestamp_bytes: [
            0,
            0,
            0,
        ],
        vbus_raw: U16(
            65535,
        ),
        ibus_raw: U16(
            65535,
        ),
        cc1_raw: U16(
            35427,
        ),
        cc2_raw: U16(
            48996,
        ),
    },
)
"
52,3.435482,D->H,c0721034dcf1ce849033b64ae152b7f6b05eaa8f6c8206b3f26cd613f5151035ca703077a0b69a513bea302f352a4b60cdaa1643f4b79afdae476e9c588e8637,"Data { header: DataHeader { packet_type: 64, flag: true, id: 114, obj_count_words: 208 }, extended: ExtendedHeader { attribute: 29148, next: true, chunk: 14, size: 531 }, payload: b""\x903\xb6J\xe1R\xb7\xf6\xb0^\xaa\x8fl\x82\x06\xb3\xf2l\xd6\x13\xf5\x15\x105\xcap0w\xa0\xb6\x9aQ;\xea0/5*K`\xcd\xaa\x16C\xf4\xb7\x9a\xfd\xaeGn\x9cX\x8e\x867"" }","Generic(Data { header: DataHeader { packet_type: 64, flag: true, id: 114, obj_count_words: 208 }, extended: ExtendedHeader { attribute: 29148, next: true, chunk: 14, size: 531 }, payload: b""\x903\xb6J\xe1R\xb7\xf6\xb0^\xaa\x8fl\x82\x06\xb3\xf2l\xd6\x13\xf5\x15\x105\xcap0w\xa0\xb6\x9aQ;\xea0/5*K`\xcd\xaa\x16C\xf4\xb7\x9a\xfd\xaeGn\x9cX\x8e\x867"" })","PdMessage(
    WrappedPdMessage {
        is_src_to_snk: false,
        timestamp: 4896307,
        pd_bytes: b""\xb7\xf6\xb0^\xaa\x8fl\x82\x06\xb3\xf2l\xd6\x13\xf5\x15\x105\xcap0w\xa0\xb6\x9aQ;\xea0/"",
    },
)
"
54,3.436047,H->D,440501019c409debc8df53b83b066c315250d05cd18b539a39c407d5c063d91102e36a9e,"Data { header: DataHeader { packet_type: 68, flag: false, id: 5, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 16540, next: false, chunk: 29, size: 942 }, payload: b""\xc8\xdfS\xb8;\x06l1RP\xd0\\\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: false, id: 5, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 16540, next: false, chunk: 29, size: 942 }, payload: b""\xc8\xdfS\xb8;\x06l1RP\xd0\\\xd1\x8bS\x9a9\xc4\x07\xd5\xc0c\xd9\x11\x02\xe3j\x9e"" })",
56,3.436149,D->H,c4050101500401400c000000ffffffff74b2334f,"Data { header: DataHeader { packet_type: 68, flag: true, id: 5, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 1104, next: false, chunk: 1, size: 256 }, payload: b""\x0c\0\0\0\xff\xff\xff\xfft\xb23O"" }","Generic(Data { header: DataHeader { packet_type: 68, flag: true, id: 5, obj_count_words: 4 }, extended: ExtendedHeader { attribute: 1104, next: false, chunk: 1, size: 256 }, payload: b""\x0c\0\0\0\xff\xff\xff\xfft\xb23O"" })","Status(
    StatusPacket {
        type_id: 12,
        timestamp_bytes: [
            0,
            0,
            0,
        ],
        vbus_raw: U16(
            65535,
        ),
        ibus_raw: U16(
            65535,
        ),
        cc1_raw: U16(
            45684,
        ),
        cc2_raw: U16(
            20275,
        ),
    },
)
"
58,3.449434,D->H,75ebec2faf0469d71a17914910f8c607,"Data { header: DataHeader { packet_type: 117, flag: false, id: 235, obj_count_words: 191 }, extended: ExtendedHeader { attribute: 1199, next: false, chunk: 41, size: 861 }, payload: b""\x1a\x17\x91I\x10\xf8\xc6\x07"" }","Generic(Data { header: DataHeader { packet_type: 117, flag: false, id: 235, obj_count_words: 191 }, extended: ExtendedHeader { attribute: 1199, next: false, chunk: 41, size: 861 }, payload: b""\x1a\x17\x91I\x10\xf8\xc6\x07"" })",
60,3.450256,H->D,4c060002ec9f554426412d14e957b3d73763bae2692045bc7737d7deaed87b0287549dc9,"Data { header: DataHeader { packet_type: 76, flag: false, id: 6, obj_count_words: 8 }, extended: ExtendedHeader { attribute: 8172, next: true, chunk: 21, size: 273 }, payload: b""&A-\x14\xe9W\xb3\xd77c\xba\xe2i E\xbcw7\xd7\xde\xae\xd8{\x02\x87T\x9d\xc9"" }","Generic(Data { header: DataHeader { packet_type: 76, flag: false, id: 6, obj_count_words: 8 }, extended: ExtendedHeader { attribute: 8172, next: true, chunk: 21, size: 273 }, payload: b""&A-\x14\xe9W\xb3\xd77c\xba\xe2i E\xbcw7\xd7\xde\xae\xd8{\x02\x87T\x9d\xc9"" })",
62,3.450375,D->H,4c000302df5fea9fecfa1c3c2d06d248509471cbbe6e58f00e7a59611c35052f1c70b674,"Data { header: DataHeader { packet_type: 76, flag: false, id: 0, obj_count_words: 8 }, extended: ExtendedHeader { attribute: 24543, next: false, chunk: 42, size: 639 }, payload: b""\xec\xfa\x1c<-\x06\xd2HP\x94q\xcb\xbenX\xf0\x0ezYa\x1c5\x05/\x1cp\xb6t"" }","Generic(Data { header: DataHeader { packet_type: 76, flag: false, id: 0, obj_count_words: 8 }, extended: ExtendedHeader { attribute: 24543, next: false, chunk: 42, size: 639 }, payload: b""\xec\xfa\x1c<-\x06\xd2HP\x94q\xcb\xbenX\xf0\x0ezYa\x1c5\x05/\x1cp\xb6t"" })",
64,3.452142,H->D,0c071000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 7, attribute: 8 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 7, attribute: 8 }, payload: b"""" })",
66,3.452359,D->H,4107020b0800002d610150f800000000102741ff00000000fffffffffffffffffffffffffafffffffafffffffafffffffafffffffaffffffed4a0f00ed4a0f00ed4a0f00ed4a0f00ed4a0f00ed4a0f00ed4a0f00ed4a0f00ed4a0f00ed4a0f005e000000268bb83a41000000000000000000000000000000504f5745522d5a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a4d4aea,"Data { header: DataHeader { packet_type: 65, flag: false, id: 7, obj_count_words: 44 }, extended: ExtendedHeader { attribute: 8, next: false, chunk: 0, size: 180 }, payload: b""a\x01P\xf8\0\0\0\0\x10'A\xff\0\0\0\0\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0^\0\0\0&\x8b\xb8:A\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0POWER-Z\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\nMJ\xea"" }","Generic(Data { header: DataHeader { packet_type: 65, flag: false, id: 7, obj_count_words: 44 }, extended: ExtendedHeader { attribute: 8, next: false, chunk: 0, size: 180 }, payload: b""a\x01P\xf8\0\0\0\0\x10'A\xff\0\0\0\0\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xfa\xff\xff\xff\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0\xedJ\x0f\0^\0\0\0&\x8b\xb8:A\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0POWER-Z\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\nMJ\xea"" })",
68,3.454067,H->D,0c080004,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 8, attribute: 512 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 8, attribute: 512 }, payload: b"""" })",
70,3.454647,D->H,4108c2ff00020000,"Data { header: DataHeader { packet_type: 65, flag: false, id: 8, obj_count_words: 1023 }, extended: ExtendedHeader { attribute: 512, next: false, chunk: 0, size: 0 }, payload: b"""" }","Generic(Data { header: DataHeader { packet_type: 65, flag: false, id: 8, obj_count_words: 1023 }, extended: ExtendedHeader { attribute: 512, next: false, chunk: 0, size: 0 }, payload: b"""" })",
72,3.456110,H->D,0f090000,"Ctrl { header: CtrlHeader { packet_type: 15, flag: false, id: 9, attribute: 0 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 15, flag: false, id: 9, attribute: 0 }, payload: b"""" })",
74,3.456189,D->H,05090000,"Ctrl { header: CtrlHeader { packet_type: 5, flag: false, id: 9, attribute: 0 }, payload: b"""" }","Generic(Ctrl { header: CtrlHeader { packet_type: 5, flag: false, id: 9, attribute: 0 }, payload: b"""" })",
76,3.516015,H->D,0c0a0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 10, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
78,3.516112,D->H,410a82020100000baa0f0000eeffffffdc0f0000ecffffff401000004a000000510d0400747e2103f9007c7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 10, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xaa\x0f\0\0\xee\xff\xff\xff\xdc\x0f\0\0\xec\xff\xff\xff@\x10\0\0J\0\0\0Q\r\x04\0t~!\x03\xf9\0|~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.00401, ibus_a: -1.8e-5, power_w: -7.218e-8, vbus_avg_v: 0.00406, ibus_avg_a: -2e-5, temp_c: 26.0, vdp_v: 0.0801, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2372, cc2_avg_v: 0.3236, internal_vdd_v: 3.238, sample_rate: Sps1 })",
80,3.726093,H->D,0c0b0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 11, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
82,3.726208,D->H,410b82020100000b0b10000002000000dc0f0000ecffffff401000004a000000530d0400747e2103f9007c7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 11, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\x0b\x10\0\0\x02\0\0\0\xdc\x0f\0\0\xec\xff\xff\xff@\x10\0\0J\0\0\0S\r\x04\0t~!\x03\xf9\0|~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004107, ibus_a: 2e-6, power_w: 8.214e-9, vbus_avg_v: 0.00406, ibus_avg_a: -2e-5, temp_c: 26.0, vdp_v: 0.0801, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2372, cc2_avg_v: 0.3236, internal_vdd_v: 3.238, sample_rate: Sps1 })",
84,3.936069,H->D,0c0c0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 12, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
86,3.936180,D->H,410c82020100000b0b10000002000000dc0f0000ecffffff401000004a000000530d0400757e2003f9007d7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 12, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\x0b\x10\0\0\x02\0\0\0\xdc\x0f\0\0\xec\xff\xff\xff@\x10\0\0J\0\0\0S\r\x04\0u~ \x03\xf9\0}~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004107, ibus_a: 2e-6, power_w: 8.214e-9, vbus_avg_v: 0.00406, ibus_avg_a: -2e-5, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2373, cc2_avg_v: 0.3236, internal_vdd_v: 3.2381, sample_rate: Sps1 })",
88,4.145968,H->D,0c0d0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 13, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
90,4.146073,D->H,410d82020100000b15100000eeffffff10100000f8ffffff7410000056000000520d0400757e2003f9007d7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 13, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\x15\x10\0\0\xee\xff\xff\xff\x10\x10\0\0\xf8\xff\xff\xfft\x10\0\0V\0\0\0R\r\x04\0u~ \x03\xf9\0}~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004117, ibus_a: -1.8e-5, power_w: -7.4106e-8, vbus_avg_v: 0.004112, ibus_avg_a: -8e-6, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2373, cc2_avg_v: 0.3236, internal_vdd_v: 3.2381, sample_rate: Sps1 })",
92,4.356116,H->D,0c0e0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 14, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
94,4.356231,D->H,410e82020100000b15100000eeffffff10100000f8ffffff7410000056000000520d0400757e2003f9007d7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 14, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\x15\x10\0\0\xee\xff\xff\xff\x10\x10\0\0\xf8\xff\xff\xfft\x10\0\0V\0\0\0R\r\x04\0u~ \x03\xf9\0}~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004117, ibus_a: -1.8e-5, power_w: -7.4106e-8, vbus_avg_v: 0.004112, ibus_avg_a: -8e-6, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2373, cc2_avg_v: 0.3236, internal_vdd_v: 3.2381, sample_rate: Sps1 })",
96,4.566141,H->D,0c0f0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 15, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
98,4.566248,D->H,410f82020100000bc60f0000deffffff10100000f8ffffff7410000056000000510d0400767e2003f8007e7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 15, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xc6\x0f\0\0\xde\xff\xff\xff\x10\x10\0\0\xf8\xff\xff\xfft\x10\0\0V\0\0\0Q\r\x04\0v~ \x03\xf8\0~~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004038, ibus_a: -3.4e-5, power_w: -1.37292e-7, vbus_avg_v: 0.004112, ibus_avg_a: -8e-6, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0248, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2374, cc2_avg_v: 0.3236, internal_vdd_v: 3.2382, sample_rate: Sps1 })",
100,4.776091,H->D,0c100200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 16, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
102,4.776185,D->H,411082020100000bc60f0000deffffff10100000f8ffffff7410000056000000510d0400767e2003f8007e7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 16, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xc6\x0f\0\0\xde\xff\xff\xff\x10\x10\0\0\xf8\xff\xff\xfft\x10\0\0V\0\0\0Q\r\x04\0v~ \x03\xf8\0~~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004038, ibus_a: -3.4e-5, power_w: -1.37292e-7, vbus_avg_v: 0.004112, ibus_avg_a: -8e-6, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0248, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2374, cc2_avg_v: 0.3236, internal_vdd_v: 3.2382, sample_rate: Sps1 })",
104,4.990334,H->D,0c110200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 17, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
106,4.990426,D->H,411182020100000bc60f0000deffffff10100000f8ffffff7410000056000000510d0400767e2003f9007e7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 17, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xc6\x0f\0\0\xde\xff\xff\xff\x10\x10\0\0\xf8\xff\xff\xfft\x10\0\0V\0\0\0Q\r\x04\0v~ \x03\xf9\0~~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004038, ibus_a: -3.4e-5, power_w: -1.37292e-7, vbus_avg_v: 0.004112, ibus_avg_a: -8e-6, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2374, cc2_avg_v: 0.3236, internal_vdd_v: 3.2382, sample_rate: Sps1 })",
108,5.196079,H->D,0c120200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 18, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
110,5.196191,D->H,411282020100000bcf0f0000e6ffffffca0f0000e2ffffff2e10000040000000530d0400767e2003f9007e7e0080a00c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 18, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xcf\x0f\0\0\xe6\xff\xff\xff\xca\x0f\0\0\xe2\xff\xff\xff.\x10\0\0@\0\0\0S\r\x04\0v~ \x03\xf9\0~~\0\x80\xa0\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004047, ibus_a: -2.6e-5, power_w: -1.05222e-7, vbus_avg_v: 0.004042, ibus_avg_a: -3e-5, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2374, cc2_avg_v: 0.3232, internal_vdd_v: 3.2382, sample_rate: Sps1 })",
112,5.406140,H->D,0c130200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 19, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData,
114,5.406232,D->H,411382020100000bcf0f0000e6ffffffca0f0000e2ffffff2e10000040000000530d0400747e2003f9007c7e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 19, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\xcf\x0f\0\0\xe6\xff\xff\xff\xca\x0f\0\0\xe2\xff\xff\xff.\x10\0\0@\0\0\0S\r\x04\0t~ \x03\xf9\0|~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.004047, ibus_a: -2.6e-5, power_w: -1.05222e-7, vbus_avg_v: 0.004042, ibus_avg_a: -3e-5, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.2372, cc2_avg_v: 0.3236, internal_vdd_v: 3.238, sample_rate: Sps1 })",
